symbol,side,setup,result,result_raw,pnl_pips,fibonacci_fib_1_0,fibonacci_fib_1_618,fibonacci_swing_high,fibonacci_swing_low,liquidity_vwap_dist,microstructure_body_size,microstructure_lower_wick,microstructure_upper_wick,momentum_rsi14,momentum_rsi9,momentum_sar,ohlcv_close,ohlcv_high,ohlcv_low,ohlcv_open,ohlcv_real_volume,ohlcv_tick_volume,regime_z_score,relative_distances_dist_ema9,relative_distances_dist_sma200,relative_distances_dist_sma21,relative_distances_dist_vwap,time_day_of_week,time_hour,time_minute,trend_adx,trend_ema9,trend_sma200,trend_sma21,volatility_atr,volatility_bollinger_bandwidth
GER40,BUY,SAR,0,loss,-12.51,26448.809999999998,26469.0186,26421.75,26389.05,4.700083752093633,6.0,5.0,1.5,55.113900257799344,57.33411261681345,26392.114054399997,26414.6,26416.1,26403.6,26408.6,0.0,161.0,0.9094953033066773,0.00028974512404103287,0.0005087937920622166,0.00023360144456036316,0.00017796673849574288,4,4,25,22.869084947367483,26406.94871536892,26401.167250000002,26408.43095238095,9.850738182073338,0.001074391217119189
USDCHF,BUY,SAR,0,loss,-0.0002,0.8151700000000001,0.8156149600000001,0.81444,0.81372,0.00029033111033116565,0.00014999999999998348,2.0000000000020002e-05,2.0000000000020002e-05,58.274200571554076,60.36085348603177,0.81379557088,0.81427,0.81444,0.81425,0.81442,0.0,204.0,1.2797296149167399,0.0001305898056253022,0.0013560555128077727,0.00026089179366632956,0.0003566810344626908,4,4,25,18.16908936360041,0.8141636785234745,0.8131673,0.814057619047619,0.000165888675802989,0.000853221531560513
NZDUSD,BUY,RompFalso,0,loss,-0.0001,0.58632,0.58677114,0.58599,0.58526,1.0121460563228268e-05,6.999999999990347e-05,4.0000000000040004e-05,9.00000000000345e-05,50.168116348935534,46.11223140561522,0.5859131856,0.58549,0.58558,0.58538,0.58542,0.0,228.0,-0.6256382752646947,-0.0001068546467710927,0.0011138115712608038,-0.00017645920377074278,1.7287460994351676e-05,4,4,25,32.30263574416756,0.5855525690129277,0.5848386,0.5855933333333334,0.00019385763622392424,0.0011253224431152563
USDCHF,BUY,SAR,0,loss,-0.0002,0.8151700000000001,0.8156149600000001,0.81444,0.81372,0.00029033111033116565,0.00014999999999998348,2.0000000000020002e-05,2.0000000000020002e-05,58.274200571554076,60.36085348603177,0.81379557088,0.81427,0.81444,0.81425,0.81442,0.0,204.0,1.2797296149167399,0.0001305898056253022,0.0013560555128077727,0.00026089179366632956,0.0003566810344626908,4,4,25,18.16908936360041,0.8141636785234745,0.8131673,0.814057619047619,0.000165888675802989,0.000853221531560513
NZDUSD,BUY,RompFalso,0,loss,-9e-05,0.58632,0.58677114,0.58599,0.58526,1.0121460563228268e-05,6.999999999990347e-05,4.0000000000040004e-05,9.00000000000345e-05,50.168116348935534,46.11223140561522,0.5859131856,0.58549,0.58558,0.58538,0.58542,0.0,228.0,-0.6256382752646947,-0.0001068546467710927,0.0011138115712608038,-0.00017645920377074278,1.7287460994351676e-05,4,4,25,32.30263574416756,0.5855525690129277,0.5848386,0.5855933333333334,0.00019385763622392424,0.0011253224431152563
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-37.66635041113477,38.5,27.5,9.5,27.842804334849504,24.34836501562779,25239.1712224,25171.45,25219.45,25143.95,25209.95,0.0,221.0,-3.289514753605756,-0.0016085459964736578,-0.006641307552536237,-0.0021540692815204873,-0.001494155919135201,4,4,30,20.53944431907252,25212.004669173675,25339.738999999998,25225.7880952381,19.259311892809826,0.0027507190960516462
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-30.246240601503814,31.0,35.0,9.5,29.522899090727677,26.18508235716891,25239.1712224,25178.95,25219.45,25143.95,25209.95,0.0,236.0,-3.0682413671361597,-0.0013704825896703454,-0.00634680025690042,-0.0018708858467986241,-0.0011998097961088395,4,4,30,20.53944431907252,25213.504669173675,25339.7765,25226.14523809524,19.259311892809826,0.0025615950818409553
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-32.84389233954789,34.0,32.0,9.5,28.827103300899452,25.418116759096364,25239.1712224,25175.95,25219.45,25143.95,25209.95,0.0,250.0,-3.162468033186366,-0.0014657045532264512,-0.006464603070553754,-0.0019841582584713188,-0.001302874404853161,4,4,30,20.53944431907252,25212.904669173673,25339.7615,25226.002380952385,19.259311892809826,0.002635652611535062
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-31.665537071268773,33.0,33.0,9.5,29.05536226095822,25.668730614458056,25239.1712224,25176.95,25219.45,25143.95,25209.95,0.0,263.0,-3.131950963311284,-0.0014339633951496998,-0.006425335450506112,-0.0019464006453646994,-0.001256139474407156,4,4,30,20.53944431907252,25213.104669173674,25339.766499999998,25226.050000000003,19.259311892809826,0.0026107184590615537
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-34.323841600329615,36.0,30.0,9.5,28.381178162914523,24.93128891184668,25239.1712224,25173.95,25219.45,25143.95,25209.95,0.0,273.0,-3.2209501819359128,-0.0015291883801141638,-0.0065431383571381025,-0.002059673912335614,-0.0013616101529207519,4,4,30,20.53944431907252,25212.504669173675,25339.7515,25225.907142857144,19.259311892809826,0.0026862312994050774
